row_index,query_title,query_year,tmdb_id,matched_title,original_title,release_date,budget_usd,revenue_usd,profit_usd,revenue_to_budget_ratio,runtime_min,vote_average,vote_count,popularity,genres,keywords,status,original_language,imdb_id,homepage,found,_error
570,Sound of Metal,2019.0,502033.0,Sound of Metal,Sound of Metal,2020-11-20,0.0,516520.0,,,120.0,7.711,2659.0,2.5841,"Drama, Music","deaf, missouri, drums, heavy metal, addiction, sign languages, hearing impaired",Released,en,tt5363618,https://www.amazon.com/dp/B08KZF3S81,True,
571,Forushande,2016.0,375315.0,The Salesman,فروشنده,2016-06-24,0.0,6953604.0,,,125.0,7.235,894.0,2.1732,"Drama, Thriller","rape, trauma, assault, theater play, teheran (tehran), iran, attack, iran, rape and revenge, death of a salesman",Released,fa,tt5186714,http://cohenmedia.net/films/the-salesman,True,
572,Dunkirk,2017.0,374720.0,Dunkirk,Dunkirk,2017-07-19,150000000.0,527000000.0,377000000.0,3.5133,107.0,7.449,16963.0,9.6144,"War, Action, Drama","army, beach, france, allies, military officer, world war ii, evacuation, pilot, british army, rescue mission, europe, based on true story, royal navy, survival, historical fiction, soldier, private, military, dunkirk, 1940s, royal air force, raf, dreary, suspenseful, tense, intense, depressing, awestruck, compassionate, foreboding",Released,en,tt5013056,http://www.dunkirkmovie.com/,True,
573,Perfetti sconosciuti,2016.0,381341.0,Perfect Strangers,Perfetti sconosciuti,2016-02-11,0.0,32207491.0,,,97.0,7.861,4488.0,2.5487,"Comedy, Drama","friendship, jealousy, husband wife relationship, italian, italy, truth, confidence, honesty, love, love affair, trust, game, childhood friends, love fiction",Released,it,tt4901306,,True,
574,Hidden Figures,2016.0,381284.0,Hidden Figures,Hidden Figures,2016-12-10,25000000.0,235957472.0,210957472.0,9.4383,127.0,8.053,10061.0,10.859,"Drama, History","nasa, mathematics, sexism, biography, racial segregation, racism, historical fiction, scientist, space race, discrimination, 1960s, space program, african american history, apologetic, arrogant, authoritarian, callous, condescending, disrespectful, earnest, frustrated",Released,en,tt4846340,http://www.hiddenfigures.com,True,
575,Paddington 2,2017.0,346648.0,Paddington 2,Paddington 2,2017-11-09,40000000.0,290132513.0,250132513.0,7.2533,104.0,7.471,2564.0,6.7385,"Adventure, Comedy, Family","london, england, based on novel or book, sequel, bear, train, based on children's book, animals, aging actor, live action and animation",Released,en,tt4468740,https://www.paddington.com/,True,
576,Udta Punjab,2016.0,398535.0,Udta Punjab,उड़ता पंजाब,2016-06-17,5980000.0,14900000.0,8920000.0,2.4916,148.0,7.2,153.0,2.5007,"Crime, Drama","police, drug addiction, singer, doctor, drugs, punjab, rockstar",Released,hi,tt4434004,,True,
577,Kubo and the Two Strings,2016.0,313297.0,Kubo and the Two Strings,Kubo and the Two Strings,2016-08-18,60000000.0,76249438.0,16249438.0,1.2708,102.0,7.631,3664.0,5.501,"Animation, Adventure, Family","japan, samurai, magic, forgiveness, stop motion, storytelling, origami, feudal japan, mother son relationship",Released,en,tt4302938,http://kubothemovie.com,True,
578,M.S. Dhoni: The Untold Story,2016.0,388333.0,M.S. Dhoni: The Untold Story,M.S. Dhoni: The Untold Story,2016-09-30,0.0,0.0,,,190.0,7.191,179.0,2.4613,Drama,"sports, biography, cricket",Released,hi,tt4169250,,True,
579,Manchester by the Sea,2016.0,334541.0,Manchester by the Sea,Manchester by the Sea,2016-11-17,9000000.0,79000000.0,70000000.0,8.7778,138.0,7.546,6085.0,4.1623,Drama,"funeral, boston, massachusetts, brother, boat, sadness, massachusetts, loss, dysfunctional family, grief, hospital, house fire, death, nephew, ex-wife, nonlinear timeline, mental health, ex-husband ex-wife relationship, legal guardian, dysfunctional life, depressed, tragic",Released,en,tt4034228,http://manchesterbytheseathemovie.com/,True,
580,Under sandet,2015.0,335578.0,Land of Mine,Under sandet,2015-12-03,5070773.0,0.0,,,100.0,7.8,1414.0,1.88,"War, Drama, History","beach, prisoner of war, post world war ii, land mine, 1940s, minefield, sudden death, boy soldier, meager rations",Released,da,tt3841424,,True,
581,Rogue One,2016.0,330459.0,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,2016-12-14,200000000.0,1056057273.0,856057273.0,5.2803,133.0,7.501,15823.0,13.2801,"Action, Adventure, Science Fiction","rebellion, spacecraft, rebel, space battle, space travel, prequel, female protagonist, space western, suicide mission, robot, spin off, space opera, alien language, against the odds, blind man",Released,en,tt3748528,https://www.starwars.com/films/rogue-one,True,
582,Captain America: Civil War,2016.0,271110.0,Captain America: Civil War,Captain America: Civil War,2016-04-27,250000000.0,1155046416.0,905046416.0,4.6202,147.0,7.447,23356.0,16.1359,"Adventure, Action, Science Fiction","superhero, based on comic, sequel, super soldier, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), angry, superhero teamup, bitter",Released,en,tt3498820,https://www.marvel.com/movies/captain-america-civil-war,True,
583,The Hateful Eight,2015.0,273248.0,The Hateful Eight,The Hateful Eight,2015-12-25,44000000.0,155760117.0,111760117.0,3.54,188.0,7.754,14666.0,10.3303,"Drama, Mystery, Western","bounty hunter, wyoming, usa, narration, mountain, hangman, whodunit, stagecoach, blizzard, post civil war, 19th century, dramatic, male rape, intense",Released,en,tt3460252,https://www.lionsgate.com/movies/the-hateful-eight,True,
584,Little Women,2019.0,331482.0,Little Women,Little Women,2019-12-25,40000000.0,216600000.0,176600000.0,5.415,135.0,7.862,6527.0,9.824,"Drama, Romance, History","new york city, sibling relationship, based on novel or book, massachusetts, affectation, coming of age, remake, period drama, american civil war, christmas, 19th century, sister sister relationship, female writer, clinical, sisters, dignified",Released,en,tt3281548,https://www.littlewomen.movie/,True,
585,Loving Vincent,2017.0,339877.0,Loving Vincent,Loving Vincent,2017-06-22,5500000.0,42187665.0,36687665.0,7.6705,95.0,7.989,2523.0,4.625,"Animation, Drama, Mystery, History","artist, investigation, letter, painter, bullying, adult animation, struggling artist, 19th century, mysterious death, controversial artist, vincent van gogh",Released,en,tt3262342,http://www.lovingvincent.com/,True,
586,Pride,2014.0,234200.0,Pride,Pride,2014-09-12,0.0,16700000.0,,,120.0,7.706,1353.0,1.7522,"Drama, Comedy","wales, london, england, based on true story, lgbt, 1980s, activism, miners strike, gay theme",Released,en,tt3169706,http://pridemovie.co.uk,True,
587,Le passé,2013.0,152780.0,The Past,Le passé,2013-05-17,11000000.0,10631747.0,-368253.0,0.9665,130.0,7.24,576.0,1.345,"Drama, Mystery","depression, suicide, coma, paris, france, childhood trauma, laundromat, family secrets, dysfunctional family, divorce",Released,fr,tt2404461,,True,
